trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.73580363287493,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.17552146555155,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-215.9009726872701,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.59466876189481,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.97292871846564,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.99139096485095,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-302.6922862678648,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 6}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.49642369929225,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-142.69759181540303,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.41287874303994,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.39350449996185,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.31365073550382,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.115367359366985,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.78816885316402,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.09256733233661,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-80.20224664570085,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.00709977236897,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.69287638914383,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.6455097566004,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-199.7970087924793,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 1.0}",25,10,-81.71740388425573,"{0: 7, 1: 0, 2: 7, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.59008359042264,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.87313088721203,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.89973989447472,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 1.0}",35,0,-218.92734738002738,"{0: 20, 1: 3, 2: 8, 3: 1, 4: 3}",0
26,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.83695828068593,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.97138377155238,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
28,False,"{'a': 0.5, 'e': 1.0}",25,0,-48.463888457984396,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.96787763117206,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 1.0}",25,0,-227.63360684823294,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
31,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.05625956581184,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.29235839222855,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.1859022642621,"{0: 15, 1: 3, 2: 10, 3: 2, 4: 0}",0
34,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.54130241848543,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 1.0}",20,0,-225.35702822541768,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 4}",0
36,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.75534454599736,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.85319367971655,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
38,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.89699119947201,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.7186288940997,"{0: 7, 1: 5, 2: 6, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 1.0}",20,9,-100.09026661492554,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 2}",1
41,False,"{'a': 0.5, 'e': 1.0}",25,0,-234.92854799365534,"{0: 8, 1: 6, 2: 6, 3: 2, 4: 3}",0
42,False,"{'a': 0.5, 'e': 1.0}",35,0,-88.37192442381148,"{0: 24, 1: 5, 2: 5, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.561540534252906,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.88786137407214,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
45,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.7207888714616,"{0: 9, 1: 5, 2: 9, 3: 2, 4: 0}",0
46,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.99897870532472,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
47,False,"{'a': 0.5, 'e': 1.0}",25,0,-230.63970367308102,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
48,False,"{'a': 0.5, 'e': 1.0}",20,2,-87.0891017961135,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.7341526395855,"{0: 13, 1: 6, 2: 9, 3: 1, 4: 1}",0
